,scenario,id_feature,short_clear_motivation,suggest_correction,score,model_name,model_size,environment,model_name_understanding,model_size_understanding
10,003-smart_agriculture,0,NS-3 code is valid C++ with main function,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
11,003-smart_agriculture,1,"JSON blueprint defines 12 LoRa devices (1 gateway + 11 endpoints), but NS-3 code defines 11 (1 gateway + 10 end devices).",Adjust 'nDevices' in NS-3 code to 11 to match the JSON blueprint.,60.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
12,003-smart_agriculture,2,"JSON blueprint does not define WiFi devices, but NS-3 code includes 1 AP and 2 STA WiFi nodes.",Remove WiFi configuration from NS-3 code or add WiFi devices to the JSON blueprint.,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
13,003-smart_agriculture,3,Gateway coordinates are slightly different. Endpoint coordinates are not explicitly set from JSON blueprint and are randomly distributed within a disc.,Implement coordinate assignment for endpoints from JSON blueprint. Correct gateway coordinates to match JSON precisely.,40.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
14,003-smart_agriculture,4,"Simulation duration matches the JSON blueprint (3 hours). LoRa traffic is periodic, which is consistent with sensor data implied in the scenario.","For better clarity, explicitly define traffic type and data rates in JSON blueprint.",60.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
15,001-smart_agriculture,0,"NS-3 SOURCE CODE is not a valid C++ NS-3 code with a main function, it is a JSON.",Generate a valid C++ NS-3 code with a main function based on the JSON blueprint.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
16,001-smart_agriculture,1,"Feature 0 score is 0, all subsequent features are automatically scored 0.",Generate a valid C++ NS-3 code first.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
17,001-smart_agriculture,2,"Feature 0 score is 0, all subsequent features are automatically scored 0.",Generate a valid C++ NS-3 code first.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
18,001-smart_agriculture,3,"Feature 0 score is 0, all subsequent features are automatically scored 0.",Generate a valid C++ NS-3 code first.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
19,001-smart_agriculture,4,"Feature 0 score is 0, all subsequent features are automatically scored 0.",Generate a valid C++ NS-3 code first.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
20,002-smart_agriculture,0,NS-3 SOURCE-CODE is not a valid C++/NS-3 code with a main function.,Generate valid C++/NS-3 code with a main function.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
21,002-smart_agriculture,1,"JSON BLUEPRINT defines 9 LoRa devices, but NS-3 SOURCE-CODE does not implement LoRa devices and is not valid C++ code.",Implement LoRa devices in NS-3 SOURCE-CODE according to JSON BLUEPRINT and ensure valid C++ code.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
22,002-smart_agriculture,2,"JSON BLUEPRINT does not define WiFi devices, but NS-3 SOURCE-CODE implies 2 WiFi devices and is not valid C++ code.",Implement WiFi devices in NS-3 SOURCE-CODE according to JSON BLUEPRINT or remove WiFi devices if not intended and ensure valid C++ code.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
23,002-smart_agriculture,3,"JSON BLUEPRINT defines coordinates for LoRa devices, but NS-3 SOURCE-CODE does not include location information and is not valid C++ code.",Implement location coordinates for devices in NS-3 SOURCE-CODE according to JSON BLUEPRINT and ensure valid C++ code.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
24,002-smart_agriculture,4,"JSON BLUEPRINT defines test duration and traffic types, but NS-3 SOURCE-CODE does not include traffic duration or type information and is not valid C++ code.",Implement traffic duration and type in NS-3 SOURCE-CODE according to JSON BLUEPRINT and ensure valid C++ code.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
25,003-smart_agriculture,0,NS-3 SOURCE CODE is not a valid C++ NS-3 code with a main function,Generate a complete and valid C++ NS-3 code with a main function,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
26,003-smart_agriculture,1,"JSON BLUEPRINT defines 12 LoRa devices (1 gateway, 11 endpoints), but NS-3 SOURCE CODE does not implement LoRa at all. NS-3 code does not implement LoRa devices.",Implement LoRa devices in the NS-3 code according to the JSON BLUEPRINT.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
27,003-smart_agriculture,2,"JSON BLUEPRINT does not explicitly declare WiFi devices, but NS-3 SOURCE CODE uses 2 WiFi station nodes. WiFi usage is not declared in JSON and number of devices does not match (0 in JSON vs 2 in NS3).","Align WiFi device usage with the JSON BLUEPRINT. If WiFi is needed, declare it in the JSON and implement it in NS-3 accordingly. If not needed, remove WiFi from NS-3 code.",0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
28,003-smart_agriculture,3,NS-3 SOURCE CODE does not contain location coordinates for devices. Location coordinates are not implemented in NS-3 code.,Implement location coordinates for devices in the NS-3 code based on the JSON BLUEPRINT.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
29,003-smart_agriculture,4,NS-3 SOURCE CODE does not contain traffic duration and type information. Traffic simulation parameters are not implemented in NS-3 code.,Implement traffic simulation with duration and type as defined in the JSON BLUEPRINT in the NS-3 code.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
30,001-smart_agriculture,0,NS-3 code does not contain main function and implementation.,Add main function and NS-3 simulation implementation.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
31,001-smart_agriculture,1,NS-3 code is not a valid NS-3 C++ code with main function. Feature 0 is unmatched.,Correct Feature 0 first by adding main function and NS-3 simulation implementation.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
32,001-smart_agriculture,2,NS-3 code is not a valid NS-3 C++ code with main function. Feature 0 is unmatched.,Correct Feature 0 first by adding main function and NS-3 simulation implementation.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
33,001-smart_agriculture,3,NS-3 code is not a valid NS-3 C++ code with main function. Feature 0 is unmatched.,Correct Feature 0 first by adding main function and NS-3 simulation implementation.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
34,001-smart_agriculture,4,NS-3 code is not a valid NS-3 C++ code with main function. Feature 0 is unmatched.,Correct Feature 0 first by adding main function and NS-3 simulation implementation.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
35,002-smart_agriculture,0,NS-3 code does not contain main function.,Add a main function to the NS-3 code.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
36,002-smart_agriculture,1,"JSON defines 9 LoRa devices, NS-3 code includes LoRa modules but lacks implementation and main function.",Implement LoRa devices in NS-3 code according to JSON blueprint.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
37,002-smart_agriculture,2,"JSON defines 0 WiFi devices, NS-3 code includes WiFi modules but lacks implementation and main function.",Remove WiFi modules from NS-3 code if not required or implement WiFi devices as per blueprint.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
38,002-smart_agriculture,3,"JSON defines device locations, NS-3 code does not implement device locations and lacks main function.",Implement device locations in NS-3 code as defined in JSON blueprint.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
39,002-smart_agriculture,4,"JSON defines traffic duration and type, NS-3 code does not implement traffic and lacks main function.",Implement traffic duration and type in NS-3 code as defined in JSON blueprint.,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
40,003-smart_agriculture,0,NS-3 code does not contain a main function,Add a main function to the NS-3 code,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
41,003-smart_agriculture,1,"LoRa counts mismatch, JSON defines 12 LoRa devices, NS-3 code does not implement LoRa functionality",Implement LoRa devices in the NS-3 code according to the JSON blueprint,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
42,003-smart_agriculture,2,"WiFi usage mismatch, JSON does not define WiFi devices, NS-3 code includes WiFi modules",Remove WiFi modules from NS-3 code or define WiFi devices in the JSON blueprint,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
43,003-smart_agriculture,3,Location coordinates cannot be matched because the base code is invalid,Implement device location according to JSON blueprint in the NS-3 code after fixing the base code,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
44,003-smart_agriculture,4,Traffic duration and type cannot be matched because the base code is invalid,Implement traffic duration and type according to JSON blueprint in the NS-3 code after fixing the base code,0.0,codellama/CodeLlama-7b-Instruct-hf,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
45,001-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function.,No correction needed.,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
46,001-smart_agriculture,1,"LoRa devices count match (6 in JSON, 6 in code).",No correction needed.,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
47,001-smart_agriculture,2,"WiFi devices count unmatch. JSON Blueprint does not declare WiFi devices, but NS-3 SOURCE-CODE uses WiFi.",Remove WiFi devices from the code or add WiFi devices in JSON blueprint.,0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
48,001-smart_agriculture,3,Location coordinates unmatch for LoRa devices. LoRa device coordinates are not explicitly set according to JSON blueprint.,"Set LoRa device coordinates according to JSON blueprint, aligning with the specified latitude and longitude.",0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
49,001-smart_agriculture,4,"Traffic type partially match, but due to previous feature score 0, score is set to 0.","Due to previous feature score 0, address the WiFi and Location mismatches first.",0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
50,002-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function,No correction needed,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
51,002-smart_agriculture,1,LoRa device counts match Blueprint (9 LoRa devices in Blueprint and 9 in NS-3 code: 1 Gateway and 8 End Devices),No correction needed,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
52,002-smart_agriculture,2,"WiFi devices count mismatch. Blueprint does not declare WiFi devices, but NS-3 code uses WiFi",Remove WiFi configuration from NS-3 code if not required by blueprint,0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
53,002-smart_agriculture,3,Location coordinates mismatch for end devices. End devices coordinates are not set in NS-3 code to match Blueprint coordinates,Implement coordinate setting for end devices in NS-3 code based on Blueprint,0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
54,002-smart_agriculture,4,"Traffic duration and type match Blueprint (2 hours simulation, periodic traffic)",No correction needed,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
55,003-smart_agriculture,0,NS-3 code with main function is present,No correction needed,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
56,003-smart_agriculture,1,"LoRa device counts match blueprint (1 GW, 11 EDs)",No correction needed,100.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
57,003-smart_agriculture,2,"JSON blueprint does not declare WiFi devices, but NS-3 code uses WiFi",Remove WiFi devices from NS-3 code or add WiFi devices to JSON blueprint,0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
58,003-smart_agriculture,3,"LoRa endpoint locations are not matched, WiFi AP altitude is different",Implement location coordinates from JSON blueprint for all devices,0.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
59,003-smart_agriculture,4,"LoRa traffic duration matches, WiFi traffic duration is very short compared to scenario duration",Adjust WiFi traffic duration to match the scenario or blueprint if specified,40.0,mistral-large-2411,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
60,001-smart_agriculture,0,Valid NS-3 C++ code with main function.,No correction needed.,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
61,001-smart_agriculture,1,LoRa device count in JSON blueprint (6) matches the count in NS-3 code (6).,No correction needed.,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
62,001-smart_agriculture,2,"JSON blueprint does not define WiFi devices, and NS-3 code does not explicitly create WiFi devices, focusing on LoRa.","No correction needed. If WiFi was intended, add WiFi device definitions in both blueprint and code.",100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
63,001-smart_agriculture,3,"Location coordinates for Gateway and End Devices in NS-3 code mostly match the JSON blueprint. Z coordinate for end devices in code is 1.2 while not specified in blueprint, but X and Y coordinates match.",Align Z-coordinate for end devices in NS-3 code with blueprint or clarify expected Z-coordinate handling if not explicitly specified.,80.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
64,001-smart_agriculture,4,Traffic duration (1 hour) and periodic traffic type in NS-3 code match the experiment duration and implicit traffic type (sensor data sending) described in JSON blueprint.,"No correction needed. For more complex traffic types, explicitly define them in the blueprint and implement in code.",100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
65,002-smart_agriculture,0,NS-3 SOURCE CODE is C++ with a main function.,No correction needed,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
66,002-smart_agriculture,1,LoRa counts match. JSON Blueprint defines 1 Gateway and 8 Endpoints (Total 9 LoRa devices). NS-3 code defines nGateways=1 and nDevices=8 (Total 9 LoRa devices).,No correction needed,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
67,002-smart_agriculture,2,"WiFi devices count mismatch. JSON Blueprint does not explicitly declare WiFi devices, but NS-3 code uses 1 Access Point and 2 Station nodes.",Remove WiFi implementation from NS-3 code or add WiFi devices to JSON blueprint if intended.,0.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
68,002-smart_agriculture,3,"Location coordinates for LoRa Gateway match, but mismatch for LoRa End Devices and WiFi devices. First 5 LoRa End Devices in NS-3 code share the same location, different from next 3. WiFi AP and STA locations are defined in code but not in JSON.",Review and align device locations in NS-3 code with the intended locations from the JSON blueprint or adjust the blueprint to match the code.,40.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
69,002-smart_agriculture,4,"Traffic duration matches (7200 seconds in both). Traffic type is periodic data transmission, which aligns with the sensor data context in JSON and PeriodicSenderHelper in NS-3 code for LoRa. For WiFi, OnOffHelper suggests constant rate traffic, which could represent continuous data stream, but details are not in JSON.",Clarify traffic type and patterns in JSON blueprint for both LoRa and WiFi to ensure alignment with NS-3 code. Specify data rate and packet size requirements in JSON.,80.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
70,003-smart_agriculture,0,NS-3 C++ code with main function is present.,No correction needed.,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
71,003-smart_agriculture,1,LoRa counts match blueprint (12 devices).,No correction needed.,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
72,003-smart_agriculture,2,"WiFi devices are not declared in blueprint and not actively used in NS-3 simulation logic, despite including WiFi headers.",Remove unused WiFi related headers from the NS-3 code to align with the blueprint.,40.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
73,003-smart_agriculture,3,Location coordinates for all LoRa devices match the blueprint.,No correction needed.,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
74,003-smart_agriculture,4,Traffic duration (3 hours) and periodic traffic type match the blueprint.,No correction needed.,100.0,gemini-exp-1206,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
75,001-smart_agriculture,0,NS-3 SOURCE CODE is C++ with main function,No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
76,001-smart_agriculture,1,"LoRa device counts match Blueprint (5 devices, 1 gateway)",No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
77,001-smart_agriculture,2,WiFi device counts match Blueprint (0 devices),No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
78,001-smart_agriculture,3,Location coordinates for LoRa devices and Gateway match Blueprint,No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
79,001-smart_agriculture,4,"Traffic duration matches Blueprint (1 hour), traffic type is periodic which is suitable for sensor data","No correction needed, consider explicitly defining traffic type in blueprint for clarity",80.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
80,002-smart_agriculture,0,NS-3 code is valid C++ with main function,No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
81,002-smart_agriculture,1,"LoRa device counts match the JSON blueprint (1 Gateway, 8 End Devices)",No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
82,002-smart_agriculture,2,"JSON blueprint does not explicitly define WiFi devices, while the NS-3 code implements 1 WiFi AP and 2 WiFi STA nodes",Clarify WiFi device requirements in JSON blueprint or remove WiFi implementation from NS-3 code if not required,0.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
83,002-smart_agriculture,3,Location coordinates for LoRa End Devices and WiFi AP do not fully match the JSON blueprint specifications. LoRa End Devices are placed using a radius allocator instead of specific coordinates.,Use ListPositionAllocator for LoRa End Devices and WiFi AP to match the coordinates specified in the JSON blueprint,20.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
84,002-smart_agriculture,4,"Traffic duration and types are generally consistent with the JSON blueprint, with periodic traffic for LoRa and CBR UDP for WiFi.","No major correction needed. For more precise matching, remove '+ Hours(1)' from Simulator::Stop if exact 2-hour simulation is required.",80.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
85,003-smart_agriculture,0,NS-3 SOURCE CODE is C++/NS-3 with a main function,No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
86,003-smart_agriculture,1,LoRa counts match Blueprint (12 devices),No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
87,003-smart_agriculture,2,WiFi devices are used in NS-3 SOURCE CODE but not declared in JSON BLUEPRINT,Remove WiFi devices from NS-3 SOURCE CODE or add WiFi devices to JSON BLUEPRINT,0.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
88,003-smart_agriculture,3,Location coordinates for LoRa devices in NS-3 SOURCE-CODE match JSON BLUEPRINT,No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
89,003-smart_agriculture,4,Traffic duration and type in NS-3 SOURCE-CODE match JSON BLUEPRINT,No correction needed,100.0,gemini-2.0-flash-exp,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
90,001-smart_city,0,NS-3 code with main function,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
91,001-smart_city,1,LoRa device counts match the blueprint,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
92,001-smart_city,2,WiFi device counts match the blueprint,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
93,001-smart_city,3,LoRa device locations are not set according to blueprint,Set LoRa device locations using ListPositionAllocator and coordinates from JSON blueprint.,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
94,001-smart_city,4,WiFi traffic duration is shorter than experiment duration and blueprint is not fully matched,Adjust WiFi traffic duration to match experiment duration in JSON blueprint.,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
95,002-smart_city,0,NS-3 SOURCE CODE is valid C++ with main function,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
96,002-smart_city,1,"LoRa device count matches the blueprint (1 Gateway, 4 Endpoints)",No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
97,002-smart_city,2,"WiFi device count matches the blueprint (2 APs, 3 Stations)",No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
98,002-smart_city,3,"LoRa endpoint locations are not matched with the blueprint coordinates, UniformDiscPositionAllocator is used instead of ListPositionAllocator",Use ListPositionAllocator for LoRa endpoints and set positions according to the blueprint,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
99,002-smart_city,4,Traffic type and details for LoRa and WiFi devices do not fully match the blueprint,Implement specific traffic patterns for each device as described in the blueprint,0.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
100,003-smart_city,0,NS-3 C++ code with main function,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
101,003-smart_city,1,LoRa device counts match blueprint,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
102,003-smart_city,2,WiFi device counts match blueprint,No correction needed,100.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
103,003-smart_city,3,"Location coordinates partially match, LoRa ED locations are random",Use ListPositionAllocator for LoRa End Devices with coordinates from JSON blueprint,40.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
104,003-smart_city,4,"Traffic type and duration mismatched, WiFi traffic mostly incorrect","Implement specific traffic types (TCP, HTTP, UDP) and durations as described in JSON blueprint for WiFi and LoRa devices",20.0,codestral-2501,large,simulated,gemini-2.0-flash-thinking-exp-01-21,large
105,001-smart_city,0,NS-3 SOURCE CODE is not a valid C++ NS-3 code with a main function,Generate valid C++ NS-3 code with a main function,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
106,001-smart_city,1,"JSON BLUEPRINT defines 1 LoRa gateway and 2 LoRa devices, but NS-3 SOURCE CODE does not define any LoRa devices.",Implement LoRa devices and gateways in the NS-3 SOURCE CODE as defined in the JSON BLUEPRINT.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
107,001-smart_city,2,"JSON BLUEPRINT defines 1 WiFi AP and 1 WiFi station, but NS-3 SOURCE CODE appears to configure 2 WiFi stations.",Adjust the NS-3 SOURCE CODE to match the WiFi device count defined in the JSON BLUEPRINT (1 AP and 1 station).,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
108,001-smart_city,3,"JSON BLUEPRINT defines coordinates for all devices, but NS-3 SOURCE CODE does not include any location coordinates for the devices.",Implement location coordinate configuration for devices in the NS-3 SOURCE CODE based on the JSON BLUEPRINT.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
109,001-smart_city,4,"JSON BLUEPRINT defines traffic flow and duration, but NS-3 SOURCE CODE does not include any traffic configuration.",Implement traffic flow and duration configuration in the NS-3 SOURCE CODE as defined in the JSON BLUEPRINT.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
110,002-smart_city,0,NS-3 SOURCE CODE is not a valid C++ NS-3 code with a main function. It appears to be runtime output.,Generate valid C++ NS-3 code with a main function that simulates the network.,0.0,google/codegemma-7b-it,small,simulated,gemini-2.0-flash-thinking-exp-01-21,large
